name,argument,role,value_types
bar3h,color,flag,"char, choices={'yellow','magenta','cyan','red','green','blue','white','black'}, char, @matlab.graphics.internal.isColorSpec"
bar3h,style,flag,"choices={'detached','grouped','stacked'}"
bar3h,width,ordered,"numeric, scalar"
barh,ax,Target axes,Axes object
barh,color,Bar color,"'red', 'green', 'blue', 'r', 'g', 'b'"
barh,style,Group style,"'grouped', 'stacked', 'hist', 'histc'"
barh,width,Bar thickness,"0.8, scalar"
barh,x,Vertical axis coordinates,"scalar, vector, matrix"
barh,y,Bar lengths,"scalar, vector, matrix"
base2dec,baseStr,Text representing base-n numbers,"character array, cell array of character vectors, string array"
base2dec,n,Base of input representation,integer between 2 and 36
beep,flag,flag,"choices={'on','off'}"
bench,N,Number of times to run tasks,nonnegative integer
besselh,K,Kind of Hankel function,"1, 2"
besselh,Z,Functional domain,"scalar, vector, matrix, multidimensional array"
besselh,nu,Equation order,"scalar, vector, matrix, multidimensional array"
besselh,scale,Toggle to scale function,"0, 1"
besseli,Z,Functional domain,"scalar, vector, matrix, multidimensional array"
besseli,nu,Equation order,"scalar, vector, matrix, multidimensional array"
besseli,scale,Toggle to scale function,"0, 1"
besselj,Z,Functional domain,"scalar, vector, matrix, multidimensional array"
besselj,nu,Equation order,"scalar, vector, matrix, multidimensional array"
besselj,scale,Toggle to scale function,"0, 1"
besselk,Z,Functional domain,"scalar, vector, matrix, multidimensional array"
besselk,nu,Equation order,"scalar, vector, matrix, multidimensional array"
besselk,scale,Toggle to scale function,"0, 1"
bessely,Z,Functional domain,"scalar, vector, matrix, multidimensional array"
bessely,nu,Equation order,"scalar, vector, matrix, multidimensional array"
bessely,scale,Toggle to scale function,"0, 1"
beta,W,Input array,"scalar, vector, matrix, multidimensional array"
beta,Z,Input array,"scalar, vector, matrix, multidimensional array"
betaln,w,,
betaln,z,,
bicg,A,Coefficient matrix,"matrix, function handle"
bicg,M,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicg,M1,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicg,M2,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicg,b,Right-hand side of linear equation,column vector
bicg,maxit,Maximum number of iterations,"[] or min(size(A,1),20), positive scalar integer"
bicg,tol,Method tolerance,"[] or 1e-6, positive scalar"
bicg,x0,Initial guess,"[] or a column vector of zeros, column vector"
bicgstab,A,Coefficient matrix,"matrix, function handle"
bicgstab,M,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicgstab,M1,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicgstab,M2,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicgstab,b,Right-hand side of linear equation,column vector
bicgstab,maxit,Maximum number of iterations,"[] or min(size(A,1),20), positive scalar integer"
bicgstab,tol,Method tolerance,"[] or 1e-6, positive scalar"
bicgstab,x0,Initial guess,"[] or a column vector of zeros, column vector"
bicgstabl,A,Coefficient matrix,"matrix, function handle"
bicgstabl,M,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicgstabl,M1,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicgstabl,M2,Preconditioner matrices (as separate arguments),"eye(size(A)), matrices, function handles"
bicgstabl,b,Right-hand side of linear equation,column vector
bicgstabl,maxit,Maximum number of iterations,"[] or min(size(A,1),20), positive scalar integer"
bicgstabl,tol,Method tolerance,"[] or 1e-6, positive scalar"
bicgstabl,x0,Initial guess,"[] or a column vector of zeros, column vector"
bin2dec,binStr,Text representing binary numbers,"character array, cell array of character vectors, string array"
binscatter,N,Number of bins,"scalar, two-element vector"
binscatter,ax,Target axes,"gca, Axes object"
binscatter,x,Input vectors,vectors
binscatter,y,Input vectors,vectors
bitand,"A,B",Input values,"scalars, vectors, matrices, multidimensional arrays"
bitand,assumedtype,Assumed data type of integ1 and integ2,"'uint64', 'uint32', 'uint16', 'uint8', 'int64', 'int32', 'int16', 'int8'"
bitand,netobj1,Input values,.NET enumeration objects
bitand,netobj2,Input values,.NET enumeration objects
bitcmp,A,Input value,"signed integer array, unsigned integer array, double array"
bitcmp,assumedtype,Assumed data type of A,"'uint64', 'uint32', 'uint16', 'uint8', 'int64', 'int32', 'int16', 'int8'"
bitget,A,Input values,array
bitget,assumedtype,Assumed data type of A,"'uint64', 'uint32', 'uint16', 'uint8', 'int64', 'int32', 'int16', 'int8'"
bitget,bit,Bit position,"integer, integer array"
bitnot,netobj,Input value,.NET enumeration objects
bitor,"A,B",Input values,"scalars, vectors, matrices, multidimensional arrays"
bitor,assumedtype,Assumed data type of integ1 and integ2,"'uint64', 'uint32', 'uint16', 'uint8', 'int64', 'int32', 'int16', 'int8'"
bitor,netobj1,Input values,.NET enumeration objects
bitor,netobj2,Input values,.NET enumeration objects
bitset,A,Input values,array
bitset,V,bit value,"scalar, numeric array"
bitset,assumedtype,Assumed data type of A,"'uint64', 'uint32', 'uint16', 'uint8', 'int64', 'int32', 'int16', 'int8'"
bitset,bit,Bit position,"integer, integer array"
bitshift,A,Input values,array
bitshift,assumedtype,Assumed data type of A,"'uint64', 'uint32', 'uint16', 'uint8', 'int64', 'int32', 'int16', 'int8'"
bitshift,k,Number of switched bits,"integer, integer array"
bitxor,"A,B",Input values,"scalars, vectors, matrices, multidimensional arrays"
bitxor,assumedtype,Assumed data type of A and B,"'uint64', 'uint32', 'uint16', 'uint8', 'int64', 'int32', 'int16', 'int8'"
bitxor,netobj1,Input values,.NET enumeration objects
bitxor,netobj2,Input values,.NET enumeration objects
blanks,n,Number of space characters,integer
blelist,Name,namevalue,char
blelist,Services,namevalue,choices=matlabshared.blelib.internal.TabCompletionHelper.getAllServices
blelist,Timeout,namevalue,"numeric, scalar"
blkdiag,"A1,...,AN",Input matrices,matrices
bluetoothlist,Timeout,namevalue,"numeric, scalar"
bone,m,Number of colors,"256, scalar integer value"
boundary,P,Point coordinates,"matrix with two columns, matrix with three columns"
boundary,s,Shrink factor,"0.5, scalar in range [0,1]"
boundary,x,x-coordinates of points,column vector
boundary,y,y-coordinates of points,column vector
boundary,z,z-coordinates of points,column vector
boundaryshape,TR,Triangulation,"2-D triangulation object, 2-D delaunayTriangulation object"
bounds,A,Input array,"vector, matrix, multidimensional array"
bounds,dim,Dimension to operate along,positive integer scalar
bounds,nanflag,NaN condition,"'omitnan', 'includenan'"
bounds,vecdim,Vector of dimensions,vector of positive integers
box,ax,Target axes,"axes, array of axes"
boxchart,ax,Target axes,Axes object
