name,section,kind,forms
edfinfo,Measurements and Feature Extraction,function,INFO = EDFINFO(FILENAME);info = edfinfo('example.edf')
edfread,Measurements and Feature Extraction,function,"DATA = EDFREAD(FILENAME);DATA = EDFREAD(...,'SelectedSignals',SIGNAMES);DATA = EDFREAD(...,'SelectedDataRecords',RECORDINDICES);DATA = EDFREAD(...,'DataRecordOutputType',DTYPE);DATA = EDFREAD(...,'TimeOutputType',TTYPE);[DATA ANNOTATIONS] = EDFREAD(...);data = edfread('example.edf');[data,annotations] = edfread('example.edf','SelectedSignals',""ECG"");data = edfread('example.edf','SelectedDataRecords',[1 3 5])"
edfwrite,Measurements and Feature Extraction,function,"EDFW = EDFWRITE(FILENAME,HDR,SIGDATA);EDFW = EDFWRITE(FILENAME,HDR,ANNOTATIONSLIST);EDFW = EDFWRITE(FILENAME,HDR,SIGDATA,ANNOTATIONSLIST);EDFW = EDFWRITE(...,'DataRecordTimes',RECORDTIMES);EDFW = EDFWRITE(FILENAME);EDFW = EDFWRITE(...,'AnnotationsEncoding',ENCODINGFORMAT);EDFW = EDFWRITE(...,'InputSampleType',SAMPLETYPE);edfw = edfwrite('Local_folder/exampleFile.edf')"
edr,Correlation and Convolution,function,"DIST = EDR(X,Y,TOL);[DIST,IX,IY] = EDR(X,Y,TOL);[DIST,IX,IY] = EDR(X,Y,TOL,MAXSAMP);[DIST,IX,IY] = EDR(X,Y,TOL,...,METRIC);EDR(...);edr(x,y,.1);edr(MATLAB1,MATLAB2,450)"
ellip,Analog Filters,function,"[B,A] = ELLIP(N,Rp,Rs,Wp);ELLIP(N,Rp,Rs,Wp,'high');ELLIP(N,Rp,Rs,Wp,'low');ELLIP(N,Rp,Rs,Wp,'stop');[Z,P,K] = ELLIP(...);[A,B,C,D] = ELLIP(...);ELLIP(N,Rp,Rs,Wp,'s');ELLIP(N,Rp,Rs,Wp,'high','s');ELLIP(N,Rp,Rs,Wp,'stop','s');[z,p,k] = ellip(6,3,50,Wn);[b2,a2]=ellip(6,5,80,[.2,.5])"
ellipord,Digital Filter Design,function,"[N, Wp] = ELLIPORD(Wp, Ws, Rp, Rs);[N, Wp] = ELLIPORD(Wp, Ws, Rp, Rs, 's');[n,Wp] = ellipord(Wp,Ws,Rp,Rs)"
enbw,Measurements and Feature Extraction,function,"BW = ENBW(WINDOW);BW = ENBW(WINDOW, Fs);bw1 = enbw(hann(10000));bw2 = enbw(hann(10000), 44.1e3)"
envelope,Measurements and Feature Extraction,function,"[YUPPER,YLOWER] = ENVELOPE(X);[YUPPER,YLOWER] = ENVELOPE(X,N);[YUPPER,YLOWER] = ENVELOPE(X,N,ENVTYPE);ENVELOPE(...);envelope(x);envelope(x,50);envelope(y,150,'rms');envelope(mtlb,30,'peak')"
envspectrum,Vibration Analysis,function,"ES = ENVSPECTRUM(X,Fs);ES = ENVSPECTRUM(XT);ES = ENVSPECTRUM(...,'Method',EM);ES = ENVSPECTRUM(...,'Band',BA);ES = ENVSPECTRUM(...,'FilterOrder',FO);[ES,F] = ENVSPECTRUM(...);[ES,F,ENV,T] = ENVSPECTRUM(...);ENVSPECTRUM(...);envspectrum([yGood yBad],fs,'Band',[2500 3500])"
eqtflength,Digital Filtering,function,"[B,A] = EQTFLENGTH(NUM,DEN);[B,A,N,M] = EQTFLENGTH(NUM,DEN)"
