name,category,kind
RicianDistribution,dist-objects,object
ridge,regression,function
robustcov,multivariate,function
robustdemo,apps,function
robustfit,regression,function
rotatefactors,multivariate,function
rowexch,doe,function
rsmdemo,apps,function
rstool,apps,function
runstest,hypothesis-tests,function
sampsizepwr,hypothesis-tests,function
saveCompactModel,code-generation,function
saveLearnerForCoder,code-generation,function
scatterhist,plots,function
SemiSupervisedGraphModel,semi-supervised,object
SemiSupervisedSelfTrainingModel,semi-supervised,object
sequentialfs,feature-selection,function
shapley,model-evaluation,object
signrank,hypothesis-tests,function
signtest,hypothesis-tests,function
silhouette,clustering,function
SilhouetteEvaluation,clustering,class
skewness,descriptive,function
slicesample,random,function
sobolset,random,class
sortClasses,model-evaluation,function
sparsefilt,feature-selection,function
SparseFiltering,feature-selection,object
spectralcluster,clustering,function
squareform,nearest-neighbors,function
StableDistribution,dist-objects,object
statget,utilities,function
statset,utilities,function
std,dist-objects,function
stepwise,apps,function
stepwisefit,regression,function
stepwiseglm,regression,function
stepwiselm,regression,function
struct2dataset,dataset-legacy,function
surfht,apps,function
table2dataset,dataset-legacy,function
tabulate,descriptive,function
tblread,file-io,function
tblwrite,file-io,function
tcdf,dist-continuous,function
tdfread,file-io,function
templateDiscriminant,classification,function
templateECOC,classification,function
templateEnsemble,classification,function
templateKernel,classification,function
templateKNN,classification,function
templateLinear,classification,function
templateNaiveBayes,classification,function
templateSVM,classification,function
templateTree,classification,function
testcholdout,model-evaluation,function
testckfold,model-evaluation,function
tiedrank,descriptive,function
tinv,dist-continuous,function
tLocationScaleDistribution,dist-objects,object
tpdf,dist-continuous,function
TreeBagger,classification,class
TriangularDistribution,dist-objects,object
trimmean,descriptive,function
trnd,dist-continuous,function
truncate,dist-objects,function
tsne,multivariate,function
tstat,dist-continuous,function
ttest,hypothesis-tests,function
ttest2,hypothesis-tests,function
unidcdf,dist-discrete,function
unidinv,dist-discrete,function
unidpdf,dist-discrete,function
unidrnd,dist-discrete,function
unidstat,dist-discrete,function
unifcdf,dist-continuous,function
unifinv,dist-continuous,function
unifit,dist-continuous,function
UniformDistribution,dist-objects,object
unifpdf,dist-continuous,function
unifrnd,dist-continuous,function
unifstat,dist-continuous,function
var,dist-objects,function
vartest,hypothesis-tests,function
vartest2,hypothesis-tests,function
vartestn,hypothesis-tests,function
wblcdf,dist-continuous,function
wblfit,dist-continuous,function
wblinv,dist-continuous,function
wbllike,dist-continuous,function
wblpdf,dist-continuous,function
wblplot,plots,function
wblrnd,dist-continuous,function
wblstat,dist-continuous,function
WeibullDistribution,dist-objects,object
wishrnd,dist-multivariate,function
x2fx,regression,function
xptread,file-io,function
zscore,descriptive,function
ztest,hypothesis-tests,function
