name,kind,folder,graphics,form_index,syntax,name_value
scatter3,function,graphics,yes,3,"scatter3(___,'filled')",no
scatter3,function,graphics,yes,4,"scatter3(___,markertype)",no
scatter3,function,graphics,yes,5,"scatter3(tbl,xvar,yvar,zvar)",no
scatter3,function,graphics,yes,6,"scatter3(tbl,xvar,yvar,zvar,'filled')",no
scatter3,function,graphics,yes,7,"scatter3(ax,___)",no
scatter3,function,graphics,yes,8,"scatter3(___,Name,Value)",yes
scatter3,function,graphics,yes,9,h = scatter3(___),no
scatterhistogram,function,specgraph,yes,0,"scatterhistogram(tbl,xvar,yvar)",no
scatterhistogram,function,specgraph,yes,1,"scatterhistogram(tbl,xvar,yvar,'GroupVariable',grpvar)",no
scatterhistogram,function,specgraph,yes,2,"scatterhistogram(xvalues,yvalues)",no
scatterhistogram,function,specgraph,yes,3,"scatterhistogram(xvalues,yvalues,'GroupData',grpvalues)",no
scatterhistogram,function,specgraph,yes,4,"scatterhistogram(___,Name,Value)",yes
scatterhistogram,function,specgraph,yes,5,"scatterhistogram(parent,___)",no
scatterhistogram,function,specgraph,yes,6,s = scatterhistogram(___),no
schur,function,matfun,no,0,T = schur(A),no
schur,function,matfun,no,1,"T = schur(A,flag)",no
schur,function,matfun,no,2,"[U,T] = schur(A,...)",no
sec,function,elfun,no,0,Y = sec(X),no
secd,function,elfun,no,0,Y = secd(X),no
sech,function,elfun,no,0,Y = sech(X),no
selectmoveresize,builtin,uitools,no,0,A = selectmoveresize,no
selectmoveresize,builtin,uitools,no,1,"set(gca,'ButtonDownFcn','selectmoveresize')",no
semilogx,builtin,graph2d,yes,0,"semilogx(X,Y)",no
semilogx,builtin,graph2d,yes,1,"semilogx(X,Y,LineSpec)",no
semilogx,builtin,graph2d,yes,2,"semilogx(X1,Y1,...,Xn,Yn)",no
semilogx,builtin,graph2d,yes,3,"semilogx(X1,Y1,LineSpec1,...,Xn,Yn,LineSpecn)",no
semilogx,builtin,graph2d,yes,4,semilogx(Y),no
semilogx,builtin,graph2d,yes,5,"semilogx(Y,LineSpec)",no
semilogx,builtin,graph2d,yes,6,"semilogx(___,Name,Value)",yes
semilogx,builtin,graph2d,yes,7,"semilogx(ax,___)",no
semilogx,builtin,graph2d,yes,8,lineobj = semilogx(___),no
semilogy,builtin,graph2d,yes,0,"semilogy(X,Y)",no
semilogy,builtin,graph2d,yes,1,"semilogy(X,Y,LineSpec)",no
semilogy,builtin,graph2d,yes,2,"semilogy(X1,Y1,...,Xn,Yn)",no
semilogy,builtin,graph2d,yes,3,"semilogy(X1,Y1,LineSpec1,...,Xn,Yn,LineSpecn)",no
semilogy,builtin,graph2d,yes,4,semilogy(Y),no
semilogy,builtin,graph2d,yes,5,"semilogy(Y,LineSpec)",no
semilogy,builtin,graph2d,yes,6,"semilogy(___,Name,Value)",yes
semilogy,builtin,graph2d,yes,7,"semilogy(ax,___)",no
semilogy,builtin,graph2d,yes,8,lineobj = semilogy(___),no
sendmail,function,iofun,no,0,"sendmail(recipients,subject)",no
sendmail,function,iofun,no,1,"sendmail(recipients,subject,message)",no
sendmail,function,iofun,no,2,"sendmail(recipients,subject,message,attachments)",no
serial,function,@serial,no,0,s = serial('port'),no
serial,function,@serial,no,1,"s = serial('port',Name,Value)",yes
serialExplorer,function,serialportapp,no,0,serialExplorer,no
serialbreak,function,,no,0,serialbreak(obj),no
serialbreak,function,,no,1,"serialbreak(obj,time)",no
seriallist,function,serial,no,0,seriallist,no
serialportlist,function,serialport,no,0,serialportlist,no
serialportlist,function,serialport,no,1,"serialportlist(""all"")",no
serialportlist,function,serialport,no,2,"serialportlist(""available"")",no
set,builtin,objectsystem,yes,0,"set(H,Name,Value)",yes
set,builtin,objectsystem,yes,1,"set(H,NameArray,ValueArray)",no
set,builtin,objectsystem,yes,2,"set(H,S)",no
set,builtin,objectsystem,yes,3,s = set(H),no
set,builtin,objectsystem,yes,4,"values = set(H,Name)",no
setappdata,builtin,objectsystem,yes,0,"setappdata(obj,name,val)",no
setenv,builtin,general,no,0,"setenv(name,value)",no
setenv,builtin,general,no,1,setenv(name),no
setfield,function,datatypes,no,0,"S = setfield(S,field,value)",no
setfield,function,datatypes,no,1,"S = setfield(S,field1,...,fieldN,value)",no
setfield,function,datatypes,no,2,"S = setfield(S,idx,field1,...,fieldN,value)",no
setfield,function,datatypes,no,3,"S = setfield(S,idx,field1,idx1,...,fieldN,idxN,value)",no
setpixelposition,function,uitools,no,0,"pos = setpixelposition(c,position)",no
setpixelposition,function,uitools,no,1,"pos = setpixelposition(c,position,isrecursive)",no
setpref,function,uitools,no,0,"setpref(group,pref,value)",no
setstr,builtin,strfun,no,0,,no
settings,function,configtools,no,0,s = settings,no
setup,function,,no,0,setup(obj),no
setup,function,,no,1,"setup(obj,input1,...,inputN)",no
sgtitle,function,graph2d,yes,0,sgtitle(txt),no
sgtitle,function,graph2d,yes,1,"sgtitle(target,txt)",no
sgtitle,function,graph2d,yes,2,"sgtitle(___,Name,Value)",yes
sgtitle,function,graph2d,yes,3,sgt = sgtitle(___),no
shading,function,graph3d,yes,0,shading flat,no
shading,function,graph3d,yes,1,shading faceted,no
shading,function,graph3d,yes,2,shading interp,no
shading,function,graph3d,yes,3,"shading(axes_handle,...)",no
sheetnames,function,spreadsheet,no,0,sheets = sheetnames(filename),no
shg,function,graphics,yes,0,shg,no
shiftdim,function,elmat,no,0,"B = shiftdim(A,n)",no
shiftdim,function,elmat,no,1,B = shiftdim(A),no
shiftdim,function,elmat,no,2,"[B,m] = shiftdim(A)",no
showplottool,function,plottools,yes,0,showplottool('tool'),no
showplottool,function,plottools,yes,1,"showplottool('on','tool')",no
showplottool,function,plottools,yes,2,"showplottool('off','tool')",no
showplottool,function,plottools,yes,3,"showplottool('toggle','tool')",no
showplottool,function,plottools,yes,4,"showplottool(figure_handle,...)",no
shrinkfaces,function,specgraph,yes,0,"shrinkfaces(p,sf)",no
shrinkfaces,function,specgraph,yes,1,"nfv = shrinkfaces(p,sf)",no
shrinkfaces,function,specgraph,yes,2,"nfv = shrinkfaces(fv,sf)",no
shrinkfaces,function,specgraph,yes,3,shrinkfaces(p),no
shrinkfaces,function,specgraph,yes,4,"nfv = shrinkfaces(f,v,sf)",no
shrinkfaces,function,specgraph,yes,5,"[nf,nv] = shrinkfaces(...)",no
sign,builtin,elfun,no,0,sign(x),no
sin,builtin,elfun,no,0,Y = sin(X),no
sind,builtin,elfun,no,0,Y = sind(X),no
sinh,builtin,elfun,no,0,Y = sinh(X),no
size,builtin,elmat,no,0,sz = size(A),no
size,builtin,elmat,no,1,"szdim = size(A,dim)",no
size,builtin,elmat,no,2,"szdim = size(A,dim1,dim2,…,dimN)",no
size,builtin,elmat,no,3,"[sz1,...,szN] = size(___)",no
slice,function,specgraph,yes,0,"slice(X,Y,Z,V,xslice,yslice,zslice)",no
slice,function,specgraph,yes,1,"slice(V,xslice,yslice,zslice)",no
slice,function,specgraph,yes,2,"slice(___,method)",no
