name,folder,form_index,syntax,verdict,detail
optimget,optimfun,1,"val = optimget(options,'param',default)",unprobed,no sample for this form's arguments
optimset,optimfun,0,"options = optimset(Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
optimset,optimfun,1,optimset,accepted,
optimset,optimfun,2,options = optimset,accepted,
optimset,optimfun,3,options = optimset(optimfun),error,No default options available for the function 'sin'.
optimset,optimfun,4,"options = optimset(oldopts,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
optimset,optimfun,5,"options = optimset(oldopts,newopts)",unprobed,no sample for this form's arguments
interp1,polyfun,0,"vq = interp1(x,v,xq)",accepted,
interp1,polyfun,1,"vq = interp1(x,v,xq,method)",accepted,
interp1,polyfun,2,"vq = interp1(x,v,xq,method,extrapolation)",accepted,
interp1,polyfun,3,"vq = interp1(v,xq)",accepted,
interp1,polyfun,4,"vq = interp1(v,xq,method)",accepted,
interp1,polyfun,5,"vq = interp1(v,xq,method,extrapolation)",accepted,
interp1,polyfun,6,"pp = interp1(x,v,method,'pp')",error,interp1: 'pp' is not an extrapolation; say 'extrap' or a fill value.
interp2,polyfun,0,"Vq = interp2(X,Y,V,Xq,Yq)",unprobed,no sample for this form's arguments
interp2,polyfun,1,"Vq = interp2(V,Xq,Yq)",unprobed,no sample for this form's arguments
interp2,polyfun,2,Vq = interp2(V),error,"interp2 takes (V, Xq, Yq) or (X, Y, V, Xq, Yq), and a method word after them."
interp2,polyfun,3,"Vq = interp2(V,k)",error,"interp2 takes (V, Xq, Yq) or (X, Y, V, Xq, Yq), and a method word after them."
interp2,polyfun,4,"Vq = interp2(___,method)",error,"interp2 takes (V, Xq, Yq) or (X, Y, V, Xq, Yq), and a method word after them."
interp2,polyfun,5,"Vq = interp2(___,method,extrapval)",error,"interp2: unexpected argument 3; options come after the data (options: 'linear', 'nearest', 'cubic', 'spline', 'makima')."
interp3,polyfun,0,"Vq = interp3(X,Y,Z,V,Xq,Yq,Zq)",unprobed,no sample for this form's arguments
