name,kind,form_index,syntax,verdict,detail
coneplot,function,4,"coneplot(...,'quiver')",unprobed,no sample for this form's arguments
coneplot,function,5,"coneplot(...,'method')",unprobed,no sample for this form's arguments
coneplot,function,6,"coneplot(X,Y,Z,U,V,W,'nointerp')",error,"coneplot needs the places to put its cones: coneplot(X, Y, Z, U, V, W, Cx, Cy, Cz)."
coneplot,function,7,"coneplot(axes_handle,...)",unprobed,no sample for this form's arguments
coneplot,function,8,h = coneplot(...),unprobed,no sample for this form's arguments
conj,builtin,0,Zc = conj(Z),accepted,
contains,builtin,0,"TF = contains(str,pat)",accepted,
contains,builtin,1,"TF = contains(str,pat,'IgnoreCase',true)",unprobed,no sample for this form's arguments
contour,function,0,contour(Z),accepted,
contour,function,1,"contour(X,Y,Z)",accepted,
contour,function,2,"contour(___,levels)",accepted,
contour,function,3,"contour(___,LineSpec)",error,"contour expects an array of numbers, but got a string."
contour,function,4,"contour(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
contour,function,5,"contour(ax,___)",accepted,
contour,function,6,M = contour(___),accepted,
contour,function,7,"[M,c] = contour(___)",accepted,
contour3,function,0,contour3(Z),accepted,
contour3,function,1,"contour3(X,Y,Z)",accepted,
contour3,function,2,"contour3(___,levels)",accepted,
contour3,function,3,"contour3(___,LineSpec)",error,"contour3 expects an array of numbers, but got a string."
contour3,function,4,"contour3(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
contour3,function,5,"contour3(ax,___)",accepted,
contour3,function,6,M = contour3(___),accepted,
contour3,function,7,"[M,c] = contour3(___)",accepted,
contourc,builtin,0,C = contourc(Z),unprobed,no sample for this form's arguments
contourc,builtin,1,"C = contourc(Z,n)",unprobed,no sample for this form's arguments
contourc,builtin,2,"C = contourc(Z,v)",unprobed,no sample for this form's arguments
contourc,builtin,3,"C = contourc(x,y,Z)",unprobed,no sample for this form's arguments
contourc,builtin,4,"C = contourc(x,y,Z,n)",unprobed,no sample for this form's arguments
contourc,builtin,5,"C = contourc(x,y,Z,v)",unprobed,no sample for this form's arguments
contourf,function,0,contourf(Z),accepted,
contourf,function,1,"contourf(X,Y,Z)",accepted,
contourf,function,2,"contourf(___,levels)",accepted,
contourf,function,3,"contourf(___,LineSpec)",error,"contourf expects an array of numbers, but got a string."
contourf,function,4,"contourf(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
contourf,function,5,"contourf(ax,___)",accepted,
contourf,function,6,M = contourf(___),accepted,
contourf,function,7,"[M,c] = contourf(___)",accepted,
contourslice,function,0,"contourslice(X,Y,Z,V,xslice,yslice,zslice)",error,"contourslice: the grid does not match the volume — it wants 1 positions along y, but was given 3."
contourslice,function,1,"contourslice(V,xslice,yslice,zslice)",error,"contourslice: the grid does not match the volume — it wants 0 positions along x, but was given 3."
contourslice,function,2,"contourslice(___,num)",error,"contourslice: the grid does not match the volume — it wants 1 positions along y, but was given 3."
contourslice,function,3,"contourslice(___,lvls)",error,"contourslice: the grid does not match the volume — it wants 1 positions along y, but was given 3."
contourslice,function,4,"contourslice(___,method)",error,"contourslice: the grid does not match the volume — it wants 1 positions along y, but was given 3."
contourslice,function,5,"contourslice(ax,___)",error,"contourslice: the grid does not match the volume — it wants 3 positions along x, but was given 1."
contourslice,function,6,s = contourslice(___),error,"contourslice: the grid does not match the volume — it wants 1 positions along y, but was given 3."
contrast,function,0,newmap = contrast(I),accepted,
contrast,function,1,"newmap = contrast(I,m)",accepted,
conv2,builtin,0,"C = conv2(A,B)",error,"conv2 expects argument 1 to be a matrix; build one with meshgrid, zeros(r, c), or a semicolon-rowed literal."
conv2,builtin,1,"C = conv2(u,v,A)",error,"conv2 expects argument 3 to be a matrix; build one with meshgrid, zeros(r, c), or a semicolon-rowed literal."
conv2,builtin,2,"C = conv2(___,shape)",error,"conv2 expects argument 1 to be a matrix; build one with meshgrid, zeros(r, c), or a semicolon-rowed literal."
convertCharsToStrings,builtin,0,B = convertCharsToStrings(A),accepted,
convertCharsToStrings,builtin,1,"[B1,...,Bn] = convertCharsToStrings(A1,...,An)",unprobed,no sample for this form's arguments
